2:45:20 92% (14m left); send: 14754481 1.48 Kp/s (1.49 Kp/s avg); recv: 10550 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:21 92% (14m left); send: 14755973 1.49 Kp/s (1.49 Kp/s avg); recv: 10554 3 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:22 92% (14m left); send: 14757458 1.48 Kp/s (1.49 Kp/s avg); recv: 10554 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:23 92% (14m left); send: 14758945 1.49 Kp/s (1.49 Kp/s avg); recv: 10556 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:24 92% (14m left); send: 14760437 1.49 Kp/s (1.49 Kp/s avg); recv: 10556 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:25 92% (14m left); send: 14761925 1.49 Kp/s (1.49 Kp/s avg); recv: 10556 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:26 92% (14m left); send: 14763413 1.49 Kp/s (1.49 Kp/s avg); recv: 10556 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:27 92% (14m left); send: 14764901 1.49 Kp/s (1.49 Kp/s avg); recv: 10558 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:28 92% (14m left); send: 14766389 1.49 Kp/s (1.49 Kp/s avg); recv: 10558 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:29 92% (14m left); send: 14767877 1.49 Kp/s (1.49 Kp/s avg); recv: 10558 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:30 92% (14m left); send: 14769365 1.49 Kp/s (1.49 Kp/s avg); recv: 10558 0 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
2:45:31 92% (14m left); send: 14770854 1.49 Kp/s (1.49 Kp/s avg); recv: 10560 1 p/s (1 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
